display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
Unable to update Device FW1-MIA-02 with a Platform of gaia-embedded,437be2f7-6151-48e3-ab02-50612e0ee1d5,extras.joblogentry,unknown,warning,update,Unable to update Device FW1-MIA-02 with a Platform of gaia-embedded,,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:48.762226+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",ccbb597a-7e12-44bf-8def-86c48a08722a,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:48.817054+01:00
"Unable to get or create a Platform named gaia, Device named FW1-TOK-01 will not have a Platform assigned",6f1fa20e-d8ce-4eb7-a741-d21d17c48d9a,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-TOK-01 will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:48.818834+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",4f4a29dc-8cba-4ebb-87cd-5e662e2548b1,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:48.886974+01:00
"Unable to get or create a Platform named gaia, Device named FW1-TOK-02 will not have a Platform assigned",e7fa2009-657c-4798-bdf3-50c9b885458d,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-TOK-02 will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:48.888788+01:00
"Unable to update the existing Device named FW1-Cina_new with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",f452e68f-66bb-45a4-b610-aab29ce77d2b,extras.joblogentry,unknown,error,update,"Unable to update the existing Device named FW1-Cina_new with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:50.435471+01:00
"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",36f27250-ab21-409d-8196-7fac57f76cb6,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:52.396565+01:00
"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-01 will not have a Platform assigned",f38fab64-ef88-46c2-a5d4-f31eb9cd3ae8,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-01 will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:52.399387+01:00
"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",5f514762-145f-4fac-a1ce-2995f151e887,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:52.473203+01:00
"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-02 will not have a Platform assigned",2657a28f-13c3-41c3-855f-98e9c13a3d95,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-02 will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:52.475320+01:00
