display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
Unable to update Device FW1-MIA-01 with a Platform of gaia-embedded,0c67372b-4c93-41c5-b21d-7616181344dd,extras.joblogentry,unknown,warning,update,Unable to update Device FW1-MIA-01 with a Platform of gaia-embedded,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:14:59.043506+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",2dbeb88f-2cc7-4771-a3b3-5e5b6ad5d0a8,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:14:59.776856+01:00
"Unable to get or create a Platform named gaia, Device named FW1-TOK-02 will not have a Platform assigned",e3126066-5488-42a1-8b2f-17b209fece33,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-TOK-02 will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:14:59.779453+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",53a84dab-1a46-4a82-aae5-2c2d01b6a42a,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:14:59.961606+01:00
"Unable to get or create a Platform named gaia, Device named FW1-TOK-01 will not have a Platform assigned",44c94e58-6755-4fbd-b44c-f031ff92f51e,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-TOK-01 will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:14:59.964343+01:00
"Unable to update the existing Device named FW1-Cina_new with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",1adf1019-1c2c-441a-b57a-f6f55b7dd8f1,extras.joblogentry,unknown,error,update,"Unable to update the existing Device named FW1-Cina_new with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:02.097154+01:00
"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",9e0aa6b7-72f3-4484-baae-dd0345fa1f41,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:03.656297+01:00
"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-01 will not have a Platform assigned",5ec2067b-638b-47a9-a333-02ca09ef9fe0,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-01 will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:03.659772+01:00
"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",3a2b6765-b1c7-46eb-a8d5-a3c476e878c8,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia-embedded already exists but belongs to Manufacturer Check Point, not Checkpoint. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:03.735243+01:00
"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-02 will not have a Platform assigned",f7884dcb-13cd-457b-8d8c-4f21633d3dce,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia-embedded, Device named FW1-FDE-02 will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:03.737645+01:00
Unable to perform a validated_save() on Device c9200-Presentazione-Uffici-Fiorano with an ID of 6ea1cc77-54d1-461c-915e-1fd5024af0bf,cac4c441-f234-45c7-96b3-b7c6ebd74763,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device c9200-Presentazione-Uffici-Fiorano with an ID of 6ea1cc77-54d1-461c-915e-1fd5024af0bf,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.755338+01:00
Unable to perform a validated_save() on Device SW-GT-VMS-Port-Pista with an ID of 94f5b940-48f1-4c4d-961a-377e0cff480f,e3cfa57a-8593-490f-b693-9d4c9c3f4919,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device SW-GT-VMS-Port-Pista with an ID of 94f5b940-48f1-4c4d-961a-377e0cff480f,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.795656+01:00
Unable to perform a validated_save() on Device C3850-PRE-EsperienzeFerrari with an ID of a3b501d5-8453-4139-9863-6bdb04f71e55,d83f60b7-a18c-42fe-ae5e-e476bbe593fe,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device C3850-PRE-EsperienzeFerrari with an ID of a3b501d5-8453-4139-9863-6bdb04f71e55,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.843699+01:00
Unable to perform a validated_save() on Device AP-EsperienzeFerrari03 with an ID of 48e04ce8-43ae-4d2f-b00d-4564284165af,4bae432d-2230-42ce-820d-e84f2539e9f5,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-EsperienzeFerrari03 with an ID of 48e04ce8-43ae-4d2f-b00d-4564284165af,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.878916+01:00
Unable to perform a validated_save() on Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03,b068e008-9228-4061-a3e6-dbf989c677a5,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.910069+01:00
Unable to perform validated_save() on Device named c9300-LT233_Presentazione,ba5ed144-cd6a-4da8-a9ef-48f38ca71d63,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,Unable to perform validated_save() on Device named c9300-LT233_Presentazione,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.921679+01:00
Unable to update Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03 with VirtualChassis data,cfabf1b1-cb92-4356-abc0-65c640842345,extras.joblogentry,unknown,error,create,Unable to update Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03 with VirtualChassis data,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.924631+01:00
