display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,7e197d57-18bc-4ff3-b1c4-c9f5d5c5b122,extras.joblogentry,unknown,warning,initialization,The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:38:46.064148+01:00
Running job,5841398a-bf9b-4524-bc21-24186232baa0,extras.joblogentry,unknown,info,initialization,Running job,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:38:46.075232+01:00
"Starting job with the following options: `Snapshot_id`: bed08f7f-e8aa-4973-8814-08f6a303eeb8.`Debug`: True, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",40952ff3-fa3b-474d-a474-f26d8e8512f8,extras.joblogentry,unknown,info,sync_data,"Starting job with the following options: `Snapshot_id`: bed08f7f-e8aa-4973-8814-08f6a303eeb8.`Debug`: True, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",,,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:38:50.752708+01:00
Loading current data from IP Fabric...,81eba408-8ca8-483a-aafc-6d04eb49130a,extras.joblogentry,unknown,info,sync_data,Loading current data from IP Fabric...,,,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:38:50.757134+01:00
Loading current data from Nautobot...,7bf2ca58-b278-41a9-a7f1-63f62dc5eb26,extras.joblogentry,unknown,info,sync_data,Loading current data from Nautobot...,,,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:39:00.907213+01:00
Calculating diffs...,dc704d72-9f01-4e37-a959-897529ab438f,extras.joblogentry,unknown,info,sync_data,Calculating diffs...,,,5ae6512d-cdec-48c5-8469-de60c69a0f55,2026-03-26T14:39:05.288888+01:00
